10	Should Tablets Replace Textbooks in K-12 Schools?	“Students hold strong and passionate opinions about e-textbooks… While a majority dislikes e-textbooks, about 20 percent believe that they are the future – and should be. Perhaps I should have predicted such a reaction given that early in the school year many of these students had written a fiery editorial about e-textbooks in their social studies classes. In part it read, ‘… online textbooks hinder study habits and force the use of computers. … and are detrimental to learning and inconvenient.’ The editorial concluded with these words: ‘If the school wishes to cultivate the use of e-books, it should at the very least offer students the option to continue using the old, hardcover books.’ At one point, we did a straw poll with the option of a free Kindle with all their books loaded on it or their old textbooks. The result: 100 percent voted for their heavy, old textbooks… Students were adamant that it was ‘much easier to learn’ from a textbook. (Several students did say that they don’t like carrying heavy books.) With hardcover books, they told me, they can highlight sections and flip through and scan pages more easily; reviewing the highlighted pages helps them remember facts. Portability also was an important factor: With a textbook they could study in random places like at after-school games or practices or they could take it with them to a friend’s house, and no one would ever want to steal it, unlike a Kindle. They said that digital devices in general were hard on the eyes, hard to read outdoors, required dealing with a battery, and are fragile… [S]tudents really find it easier to learn from a textbook.”
01	Should the US Increase Its Use of Natural Gas?	"""I believe natural gas can and should be the driving force for how this Congress can take bold action to free our country from the death grip of high prices for imported oil, thereby improving our economy, enhancing national security and helping the environment...  [W]e don't need a new fuel, we don't need new engine technology, we don't need hundreds of billions of dollars. All you have to do is modify or replace today's internal combustion engines that run on gasoline and diesel and replace them with an internal combustion engine that runs on natural gas. And that's natural gas that costs less than half the price of gasoline, is more than two-thirds cleaner, and best of all, is produced right here at home in America, and we are proving to skeptics everyday that there is plenty of it...  I believe U.S. natural gas producers can increase supplies by 5% per year for at least the next decade and that assumes there is no more access to public lands and waters than there is today. So that means there's plenty of natural gas to burn to make electricity, plenty of natural gas to heat our homes and to make chemicals and plastics and there's plenty of natural gas available to begin the conversion of our transportation fleet from dirty, expensive, imported oil to clean-burning, affordable, abundant, American natural gas."""
10	Is a College Education Worth It?	“If you think of college as opening doors after graduation, the debt closes those doors. Because you can only go after jobs that can service the debt which takes out about half the jobs that you could be getting… Because you won’t earn enough to pay back the loans each month. You won’t earn enough, for example, to live in a city where there are other young people and have your own apartment or your own place to live and pay back the debt. So then you have to start looking only at jobs that pay, say $20 an hour as opposed to jobs that pay $10 an hour. …But, in general we are not learning in college anything that’s useful in the workforce, and colleges right now are acutely aware of that and are trying to figure out how to re-position themselves, either as learning for the sake of learning, or becoming more vocational depending on the school. And companies are shifting how they hire people to focus more on what people do as opposed to where they’ve been educated.”
10	Should People Become Vegetarian?	“Not a single bite of food reaches our mouths that has not involved the killing of animals. By some estimates, at least 300 animals per acre—including mice, rats, moles, groundhogs and birds—are killed for the production of vegetable and grain foods, often in gruesome ways. Only one animal per acre is killed for the production of grass-fed beef and no animal is killed for the production of grass-fed milk until the end of the life of the dairy cow. And what about the human beings, especially growing human beings, who are suffering from nutrient deficiencies and their concomitant health problems as a consequence of a vegetarian diet? Or does only animal suffering count?… Vegetarians wishing to make a political statement should strive for consistency. Cows are slaughtered not only to put steak on the table, but to obtain components used in soaps, shampoos, cosmetics, plastics, pharmaceuticals, waxes (as in candles and crayons), modern building materials and hydraulic brake fluid for airplanes. The membrane that vibrates in your telephone contains beef gelatin. So to avoid hypocrisy, vegetarians need to also refrain from using anything made of plastic, talking on the telephone, flying in airplanes, letting their kids use crayons, and living or working in modern buildings. The ancestors of modern vegetarians would not have survived without using animal products like fur to keep warm, leather to make footwear, belts, straps and shelter, and bones for tools. In fact, the entire interactive network of life on earth, from the jellyfish to the judge, is based on the sacrifice of animals and the use of animal foods. There’s no escape from dependence on slaughtered animals, not even for really good vegan folks who feel wonderful about themselves as they finish their vegan meal… Going vegetarian is very difficult. The body needs animal foods and provides a powerful drive to eat them. Cravings and resentment are a natural byproduct of a vegetarian diet, not to mention separation from the the majority of humankind by unnatural eating habits and sense of moral rectitude.”
10	Should the United States Return to a Gold Standard?	A gold backed currency could not expand fast enough to maintain a healthy rate of international trade and economic growth. At current mining rates, the total world gold supply increases about 1.5% to 2% per year [61], which is not enough to maintain a healthy rate of global economic growth. According to United Bank of Switzerland economist Paul Donovan, the nominal rate of growth in world trade should be around 6% to 6.5%. If an international gold standard were to be re-introduced this growth rate could not be maintained. [62] Read More
01	Should the Death Penalty Be Allowed?	"""No one seriously believes that Timothy McVeigh is being put to death because he is a white male. He is being executed because he is a cold-blooded killer, with the reasonable hope that his death will advance the safety and security of the rest of us, whatever our skin color. The same is true for the other cold-blooded killers being put to death."""
01	Does Drinking Milk Contribute to Heart Disease?	"""The statistical results of the present study confirm the finding...that the non-fat components of milk are important in the etiology [cause or origin] of heart disease for both males and females... Given the strong statistical link between milk carbohydrates, non-fat milk and heart disease in this study...much more attention should be given to the study of the link between dietary bovine milk and heart disease."""
10	Will Alternative Energy Development Create More Jobs?	"""Grand claims about environmental laws and regulations creating a flood of green jobs have been made for nearly a decade. In 2006, after signing AB 32 – the state's landmark law responding to global warming – Gov. Arnold Schwarzenegger predicted it would create a new pillar in California's economy. In 2008, when running for president, Barack Obama promised creation of 5 million green jobs nationally. In 2010, when running for governor, Jerry Brown promised creation of 500,000 new green jobs in the Golden State.  None of these assertions ever came remotely true. A 2011 New York Times analysis depicted Obama's and Brown's rhetoric as a 'pipe dream' and concluded that 'federal and state efforts to stimulate creation of green jobs have largely failed.' The granddaddy of liberal think tanks, the Brookings Institution, noted that green jobs grew more slowly from 2003 to 2010 than regular jobs in the U.S., and reported that the number of green jobs in Silicon Valley had actually gone down during that period. In the first quarter of 2014, only 5,600 green energy jobs were created in the entire nation, according to the Energy Collective website.  The McKinsey management consulting group's assessment of a decade ago – that green jobs are a niche of the economy, not a pillar – has been confirmed over and over again. The New York Times, the Brookings Institution and McKinsey are not subsidiaries of ExxonMobil; they have credibility on this issue."""
01	Is Drinking Milk Healthy for Humans?	"""The most recent evidence suggested that intake of milk and dairy products was associated with reduced risk of childhood obesity. In adults, intake of dairy products was shown to improve body composition and facilitate weight loss during energy restriction. In addition, intake of milk and dairy products was associated with a neutral or reduced risk of type 2 diabetes and a reduced risk of cardiovascular disease, particularly stroke. Furthermore, the evidence suggested a beneficial effect of milk and dairy intake on bone mineral density but no association with risk of bone fracture. Among cancers, milk and dairy intake was inversely associated with [protective against] colorectal cancer, bladder cancer, gastric cancer, and breast cancer, and not associated with risk of pancreatic cancer, ovarian cancer, or lung cancer, while the evidence for prostate cancer risk was inconsistent. Finally, consumption of milk and dairy products was not associated with all-cause mortality."""
01	Is Legal Prostitution a Legitimate Business?	"""The assumption underlying much of the bad press Germany has received is that decriminalization is a boon to the underworld. In fact, the opposite is closer to the truth. Prostitution is like any other industry. Make it illegal, and you give criminals a monopoly. Legalize it, and you give law-abiding enterprises a chance to compete...   Moreover, regulated brothels now are operated as legitimate businesses, and so attract professional managers -- as opposed to underworld thugs."""
10	Should Baseball Players Who Have Used Banned Substances Be Voted into the Hall of Fame?	"""I think the baseball writers should keep the cheaters out...  It's hard to say that a player who cheated by taking performance-enhancing drugs showed 'integrity, sportsmanship [and] character.'  But even more important, I think the writers should keep the cheaters out because voting them in would set a terrible example for kids...  Parents and teachers tell kids it is important to be a good person. But it is hard for kids to believe that when they see people of questionable character getting lots of the prizes.  I think it would be great for the Hall of Fame voters to draw a clear line. If you cheat, you won't get into the Hall of Fame."""
01	Did the Bush Administration support the idea of troop reduction or withdrawal?	"""And I expect [the President will] talk about as the Iraqi security forces increase their experience and capability and the Iraqis make progress on the political front, then we will be able to reduce the number of our troops in Iraq, as well, but that that will be based on conditions on the ground. It's a conditions-based approach."""
10	Does the Death Penalty Deter Crime?	"""It is generally agreed between the retentionists and abolitionists, whatever their opinions about the validity of comparative studies of deterrence, that the data which now exist show no correlation between the existence of capital punishment and lower rates of capital crime.  Despite the fact that abolitionists have not proved non-deterrence beyond a reasonable doubt, they have succeeded in showing by clear and convincing evidence that capital punishment is not necessary as a deterrent to crime in our society.  In light of the massive amount of evidence before us, I see no alternative but to conclude that capital punishment cannot be justified on the basis of its deterrent effect."""
10	Is Marijuana an Effective Treatment for the Symptoms of Arthritis?	(or marijuana) does not interfere directly with the endorphin system… Indeed, it increases the perception of pain [a symptom of arthritis].”
10	Is a Two-State Solution (Israel and Palestine) an Acceptable Solution to the Israeli-Palestinian Conflict?	"""The Palestine Papers have given ultimate confirmation that Israel is not interested in an equitable two-state solution with the Palestinians. The secret documents reveal beyond a shadow of a doubt that even the most generous offers of land and security by the Palestinians in a two-state paradigm were rejected by Israel. During these negotiations, and in fact during the last twenty years of serious discussion of a two-state solution, Israel has doubled and redoubled efforts to create facts on the ground in the West Bank and Gaza which render a two-state solution impossible to implement.  Quite simply, Israel has created the one state. This state gives 80% of its citizens (the Jewish population) full democratic and civil rights. 20% of the citizens (Palestinian citizens of Israel) experience institutionalized discrimination in virtually all sectors of civil and political life. The remaining population in the West Bank lives in an apartheid like system of separate and unequal rights under full military occupation by Israel. The population of Gaza is surrounded by walls and predator drones which constantly monitor their movements while preventing the growth of a sovereign state.  Israel and the Occupied Palestinian Territories form one state under complete Israeli control. Israeli negotiators with the cover of continued American aid and diplomatic assistance have taken every opportunity to stop an equitable two-state solution from coming into existence. Since we live in one state and the two-state solution is dead, why not pragmatically work towards bringing democracy to the residents of this unequal state?"""
10	Does Obamacare Require Insurers to Offer Coverage for Treatment of Mental Illness? – YES	[Editor's Note: Based upon a neutral reading of the Patient Protection and Affordable Care Act and bi-partisan third party analysis, this question seems to have a clear and obvious Pro (yes) answer, and ProCon.org has therefore presented the responses in a single column with no opposing perspective.]
01	"Should the Words ""under God"" Be in the US Pledge of Allegiance?"	"""Americans are one of the most religious people in the world, particularly compared with the peoples of other highly industrialized democracies. But they nonetheless tolerate and respect the rights of atheists and nonbelievers. Unbelievers do not have to recite the pledge, or engage in any religiously tainted practice of which they disapprove. They also, however, do not have the right to impose their atheism on all those Americans whose beliefs now and historically have defined America as a religious nation."""
01	Is Medical Marijuana an Effective Treatment for Severe / Chronic Pain?	is significant evidence that cannabinoids may be involved in the modulation of pain, especially of neuropathic origin. HIV-related painful peripheral neuropathy is a significant medical problem with unsatisfactory treatment options. Based on the effects of cannabinoids in preclinical models of neuropathic pain and anecdotal case reports, a controlled trial of smoked cannabis was conducted… Thirteen of the 25 patients who were randomized to marijuana cigarettes reported greater then 30% reduction in pain during the intervention phase, compared with 6 of the 25 patients receiving placebo cigarettes… Smoked marijuana is effective in reducing chronic ongoing neuropathic pain as well as acute pain in the experimental pain model. The magnitude of the response of the neuropathic pain is similar to what is seen with gabapentin, a widely used therapeutic intervention for HIV neuropathy.”
01	Is Marijuana an Effective Treatment for the Symptoms of Arthritis?	has a demonstrated ability to improve mobility and reduce morning stiffness and inflammation. Research has also shown that patients are able to reduce their usage of potentially harmful Non-Steroidal Anti-Inflammatory drugs (NSAIDs) when using cannabis as an adjunct therapy.”
10	Would Legalizing Physician-Assisted Suicide (PAS) Encourage the Healthcare Industry to Promote PAS, Endangering Vulnerable Groups?	"""It's a practice [PAS] that has also been around in Oregon and Washington State for some time. It doesn't seem to have been abused; that is, we're not taking poor people and rushing them off or taking people who don't really want to die and making them do so. In fact, of the people who make the request—and relatively few do in Oregon and Washington where it's been policy for many years—many of them don't take the pills. They like knowing that the pills are there, but they don't take them."""
01	Should the Drinking Age Be Lowered from 21 to a Younger Age?	“Age 18 traditionally separates minors from adults. But one can’t legally buy a drink in America until age 21. Meanwhile, many states are now sending minors into the adult criminal justice system, even for nonviolent crimes… Our society’s age-specific approaches often boil down to curbing the freedoms of the young — and increasing their punishments… The drinking age has long been a tug-of-war. Is a 19-year-old mature enough to fight in Afghanistan but not to order beer in a bar? Almost every other country sets the drinking age at 18. The presidents of 135 colleges have called for lowering the drinking age from 21 [see Amethyst Initiative above]. They note that the age restriction hasn’t stopped binge drinking on campus and argue, not without reason, that it has turned alcohol into forbidden fruit begging to be picked. Perhaps teaching young adults how to drink in moderation is the better way to go. In our imperfect world, the law has to draw lines, however arbitrary. But laws that only appear to address a problem by burdening young people aren’t wise, and they aren’t fair.”
10	Are Existing Testing Efforts Effective in Detecting the Use of Performance Enhancing Drugs?	"""From a little work with a lot of blood profiles, I found maybe five positives. I wonder that maybe hundreds, maybe even thousands of EPO [erythropoietin] positive samples are lying around in WADA-accredited labs... WADA is sitting on a mountain of positive EPO. They have these very strict rules, and declare that everything is working fine. But it's not working at all! You can more or less do whatever you like with EPO and you will not be charged."""
10	Should Social Security Be Privatized?	If workers had to adopt private accounts, unscrupulous financial advisors could take advantage of novice investors. According to the FBI, there were 1,846 cases of securities and commodities fraud pending as of 2011, and some of the schemes defrauded several thousand investors each. Many of the victims were elderly investors. [47] The Obama Administration's Council of Economic Advisors estimated that Americans lose about $17 billion per year on retirement investments that are arranged to benefit financial advisors at the expense of investors. [48] [49] After the United Kingdom introduced private accounts in the 1980s, unscrupulous salespeople advised millions of people to invest in risky personal pensions dependent on stock market returns. As a result of the losses incurred, the UK government had to pay out more than £13 billion (equivalent to about US$20 billion as of Aug. 2015) in compensation to the victims. [50] [51] [52] Read More
01	Should Recreational Marijuana Be Legal?	“America’s real-world experiment with regulating marijuana has been a success… Contrary to the fears of some, these policy changes are not associated with increased marijuana use or access by adolescents, or with adverse effects on traffic safety or in the workplace. Marijuana regulations are also associated with less opioid abuse and mortality. In jurisdictions where this retail market is taxed, sales revenue has greatly exceeded initial expectations. The enforcement of marijuana prohibition financially burdens taxpayers, encroaches upon civil liberties, engenders disrespect for the law, and disproportionately impacts young people and communities of color. It makes no sense from a public health perspective, a fiscal perspective, or a moral perspective to perpetuate the prosecution and stigmatization of adults who choose to responsibly consume a substance that is safer than either alcohol or tobacco… But legalization does not mean replacing criminalization with a marijuana free-for-all. Rather, it means the enactment of a pragmatic regulatory framework that allows for the licensed commercial production and retail sale of marijuana to adults, but also restricts and discourages its use among young people. Such a regulated environment best reduces the risks associated with the plant’s use or abuse. By contrast, advocating marijuana’s continued criminalization does nothing to offset the plant’s potential risks to the individual user and to society; it only compounds them.”
01	Should Euthanasia or Physician-Assisted Suicide Be Legal?	"""I believe there are people who are healthy and mentally competent enough to decide on suicide. People who are not depressed. Everyone has a right for suicide, because a person has a right to determine what will or will not be done to his body. There’s no place for people to turn today who really want to commit suicide. Teenagers, and the elderly especially, have nowhere to turn. But when they come to me, they will obey what I say because they know they're talking to an honest doctor."""
01	Are Social Networking Sites Good for Our Society?	“I believe the benefits provided by social network sites such as Facebook have made us better off as a society and as individuals, and that, as they continue to be adopted by more diverse populations, we will see an increase in their utility. Anecdotal evidence of positive outcomes from these technologies — such as political activities organized via Facebook or jobs found through LinkedIn — is well-known, but now a growing corpus of academic research on social networks sites supports this view as well… Social technologies never have predictable and absolute positive or negative effects, which is why social scientists dread questions like these. In considering the effects of social network sites, it is clear that there are many challenges to work through — the increasing commercialization of this space, the need to construct strong privacy protections for users, and safety issues — but I believe the benefits we receive as a society provided by these tools far outweigh the risks.”
10	Is a College Education Worth It?	Many college graduates are employed in jobs that do not require college degrees. According to the Department of Labor, as of 2008, 17 million college graduates were in positions that did not require a college education. [6] 1 in 3 college graduates had a job that required a high school diploma or less in 2012. [5] More than 16,000 parking lot attendants, 83,000 bartenders, 115,000 janitors and 15% of taxi drivers have bachelor's degrees. [6] College graduates with jobs that do not require college degrees earn 30-40% less per week than those who work in jobs requiring college degrees. [40] Read More
10	Should Cities Shame Johns by Putting Their Faces on Billboards, Television, and the Internet after Their Arrest?	"""We don't put the mug shots of carjackers or drunks on billboards. Why are we going to do it with johns? Legalize it and zone it, that's the direction in which we ought to head. You know that, in my home town of Philadelphia, they started to print the mug shots of those arrested for solicitation in the newspaper. All of a sudden, a couple of the guys were exonerated, but already their reputations had been ruined.  You're never going to solve it. That's why they call it the oldest profession. Legalize it, derive tax revenue from it and zone it. Put it in an industrial area."""
10	"Should the Words ""under God"" Be in the US Pledge of Allegiance?"	"""No child should incur teacher condescension or classmate derision for holding to the ultimate beliefs of the parents who have entrusted education of that child to the school. However, it happens when youngsters and adults of conscience are pressed by circumstance to conform to the Pledge ritual in its current form.  Return of the Pledge to its pre-1954 form would remove the phraseology, the dilemma, the divisiveness, and the harm for this segment of the population."""
01	Should the Death Penalty Be Allowed?	"""[O]n certain empirical assumptions, capital punishment may be morally required, not for retributive reasons, but rather to prevent the taking of innocent lives. In so saying, we are suggesting the possibility that states are obliged to maintain the death penalty option."""
01	Do Poll Workers Have Sufficient Support Mechanisms to Deal with Unanticipated Technical Issues with Electronic Voting Machines on Election Day?	"""Prior to the January [2004] election, we recruited 'precinct technicians,' a new pollworker position. We trained these technicians exclusively on the operation of the DRE. Their presence at the polling place increased the comfort level of our senior pollworkers."""
10	Should the Government Allow Immigrants Who Are Here Illegally to Become US Citizens?	"""I do think we need a fence. I think we need to control our border for sure. But if you're a law-abiding person that has lived here, we'll give you a path to legalization, not a path to citizenship. It is important that we control our border. We lock our doors so people don't wander into our homes.   The country has a right to control its border, too. To say we're going to pick 10 or 11 million people out and shove them out of here, do you remember after World War II when they imprisoned Japanese and what a dark spot, a dark stain on our history. The idea that we're just going to deport all of these people is not going to happen. And it's just not right."""
01	Can Alternative Energy Effectively Replace Fossil Fuels?	"""Oil generates only 3 percent of our electricity. Therefore a 100 percent renewable electricity system does little to reduce our oil dependency -- unless that electricity is used to substitute for oil in our transportation system...   Converting our electric system fully to renewables would require us to shut down about 80 percent of our current electricity-generating capacity, much of it low-cost, already paid off and capable of generating electricity for another 25 years or more. Moreover, to reach very high penetration rates of renewable electricity would require that we overcome the principal shortcoming of wind and sunlight: intermittency.  Powering 100 percent of our transportation system would require about 30 percent of the electricity generated in 2006. With a massive effort, using a combination of solar and wind power, we could generate about that much electricity by 2020."""
10	Is Euthanasia Acceptable for Severely Ill Infants?	"""Supporters of neonatal euthanasia claim there is no difference between withdrawing or withholding treatment and giving lethal medication to end life.12 If death is imminent, starting or continuing life sustaining treatment would only prolong the death process and result in more pain and suffering for the child and his parents. In this case, it is ethically permissible to withhold or withdraw disproportionate life support technology and allow death to result as the natural consequence of the patient’s illness. Withdrawing or withholding life sustaining treatment in this clinical situation is not morally equivalent to active euthanasia…   The physician is a healer. The ends of medicine are health, cure and care. When a cure is not attainable and health cannot be restored, the physician must care for his patient. It is the physician’s moral obligation… Taking the suffering person's life is not the solution to the pain and suffering that are part of the dying process.   The taking of innocent life is never a moral act. Neonatal euthanasia is not ethically permissible."""
10	Should People Have a Right to Become Prostitutes?	"""I would like to remind us all that efforts to combat prostitution and trafficking in women can only succeed if we refuse to be the stooges of the international prostitution industry. Instead of adopting the superficial and individualised arguments put forward by advocates of legalisation, we must take a stand against a society in which women and children are regarded as commodities for trade; against the purchase of women and children by men, and for a future in which all women and children are given equal opportunities and in which their human rights are respected."""
10	Does Obamacare Cover People with Pre-Existing Conditions? - YES	[Editor's Note: Based upon a neutral reading of the Patient Protection and Affordable Care Act and bi-partisan third party analysis, this question seems to have a clear and obvious Pro (yes) answer, and ProCon.org has therefore presented the responses in a single column with no opposing perspective.]
